deck_id,family,gold,size_mb,filename,fullpath
work_00,real_entry,0,88.54,1混沌数藏艺术商业IP一体化服务商（计划书+PPT二合一）.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛作品合集赠送【PPT不是这个文件】\互联网＋三创赛挑战杯大赛资料\1、创赛获奖作品集（一）\5.【2023】混沌数藏艺术商业IP一体化服务商（商业计划书＋PPT）\1混沌数藏艺术商业IP一体化服务商（计划书+PPT二合一）.pptx
work_01,real_entry,0,31.62,人工智能导购--豆扣网商业计划书ppt.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛作品合集赠送【PPT不是这个文件】\互联网＋三创赛挑战杯大赛资料\5、2020三创历年获奖作品集\PPT\人工智能导购--豆扣网商业计划书ppt.pptx
work_02,real_entry,0,21.07,Anonia手机游戏项目创业商业计划书介绍.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛作品合集赠送【PPT不是这个文件】\互联网＋三创赛挑战杯大赛资料\互联网+创新相关资料\Anonia手机游戏项目创业商业计划书介绍.pptx
work_03,real_entry,0,16.83,商业计划06.--烦烦优创.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛作品合集赠送【PPT不是这个文件】\互联网＋三创赛挑战杯大赛资料\666+份商业计划书及ppt模板大礼包\商业计划06.--烦烦优创.pptx
work_04,real_entry,0,14.57,大气星空创业融资路演商业计划书PPT--烦烦优创.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛作品合集赠送【PPT不是这个文件】\互联网＋三创赛挑战杯大赛资料\666+份商业计划书及ppt模板大礼包\大气星空创业融资路演商业计划书PPT--烦烦优创.pptx
work_05,real_entry,0,12.94,中国风商业计划书PPT模板02--烦烦优创.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛作品合集赠送【PPT不是这个文件】\互联网＋三创赛挑战杯大赛资料\666+份商业计划书及ppt模板大礼包\中国风商业计划书PPT模板02--烦烦优创.pptx
work_06,real_entry,0,9.92,2017时尚大气曲线黑金企业商务计划书模板--烦烦优创.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛作品合集赠送【PPT不是这个文件】\互联网＋三创赛挑战杯大赛资料\666+份商业计划书及ppt模板大礼包\2017时尚大气曲线黑金企业商务计划书模板--烦烦优创.pptx
work_07,real_entry,0,8.93,商业计划56.--烦烦优创.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛作品合集赠送【PPT不是这个文件】\互联网＋三创赛挑战杯大赛资料\666+份商业计划书及ppt模板大礼包\商业计划56.--烦烦优创.pptx
darkx_00,dark_tech,0,88.66,【深蓝版】编号0012科技风互联网加挑战杯通用PPT模板.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\黑金深蓝-创赛通用模板AI\【深蓝版】编号0012科技风互联网加挑战杯通用PPT模板.pptx
darkx_01,dark_tech,0,34.33,智绘流程-15页--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\深蓝科技-集蜂智翼（防火监管）\智绘流程-15页--淘宝店：烦烦优创馆.pptx
